order,size,cache,phase,n,time_s,reads,writes,found
4,100000,2,insert,100000,20.4011,1468814,349913,0
4,100000,2,search,10000,1.41254,154945,0,5000
4,100000,3,insert,100000,19.9375,1468795,349900,0
4,100000,3,search,10000,1.31648,154945,0,5000
4,100000,4,insert,100000,19.3267,1468752,349873,0
4,100000,4,search,10000,1.34707,154944,0,5000
4,100000,5,insert,100000,19.4898,1468644,349815,0
4,100000,5,search,10000,1.32124,154943,0,5000
4,100000,6,insert,100000,19.361,1468408,349702,0
4,100000,6,search,10000,1.42728,154939,0,5000
4,100000,7,insert,100000,20.2511,1467854,349470,0
4,100000,7,search,10000,1.33364,154931,0,5000
4,100000,8,insert,100000,19.7096,1466628,349015,0
4,100000,8,search,10000,1.32516,154905,0,5000
4,100000,10,insert,100000,19.9865,1457878,346254,0
4,100000,10,search,10000,1.40927,154805,0,5000
4,100000,12,insert,100000,19.6128,1416186,335207,0
4,100000,12,search,10000,1.31052,154429,0,5000
4,100000,16,insert,100000,7.05653,472478,151868,0
4,100000,16,search,10000,1.19173,137629,0,5000
4,100000,20,insert,100000,1.95158,0,99990,0
4,100000,20,search,10000,1.19341,137493,0,5000
4,100000,24,insert,100000,1.93468,0,99990,0
4,100000,24,search,10000,1.19088,135895,0,5000
4,100000,32,insert,100000,1.93487,0,99990,0
4,100000,32,search,10000,0.565876,63705,0,5000
8,100000,2,insert,100000,9.83902,756234,174926,0
8,100000,2,search,10000,0.694039,78316,0,5000
8,100000,3,insert,100000,9.7989,755975,174805,0
8,100000,3,search,10000,0.66589,78312,0,5000
8,100000,4,insert,100000,10.275,754659,174317,0
8,100000,4,search,10000,0.717352,78290,0,5000
8,100000,5,insert,100000,10.1769,748254,172353,0
8,100000,5,search,10000,0.696857,78216,0,5000
8,100000,6,insert,100000,9.78518,718041,164492,0
8,100000,6,search,10000,0.684423,77940,0,5000
8,100000,7,insert,100000,7.91544,578727,133048,0
8,100000,7,search,10000,0.660137,76707,0,5000
8,100000,8,insert,100000,2.14511,134297,45633,0
8,100000,8,search,10000,0.58563,65798,0,5000
8,100000,10,insert,100000,0.789955,0,33329,0
8,100000,10,search,10000,0.589954,65716,0,5000
8,100000,12,insert,100000,0.695104,0,33329,0
8,100000,12,search,10000,0.559201,64596,0,5000
8,100000,16,insert,100000,0.695531,0,33329,0
8,100000,16,search,10000,0.274378,31080,0,5000
8,100000,20,insert,100000,0.655125,0,33329,0
8,100000,20,search,10000,0.273294,30870,0,5000
8,100000,24,insert,100000,0.655465,0,33329,0
8,100000,24,search,10000,0.271001,30216,0,5000
8,100000,32,insert,100000,0.671057,0,33329,0
8,100000,32,search,10000,0.263217,29321,0,5000
16,100000,2,insert,100000,7.45634,524853,130196,0
16,100000,2,search,10000,0.545972,59281,0,5000
16,100000,3,insert,100000,7.59501,522290,129187,0
16,100000,3,search,10000,0.538015,59270,0,5000
16,100000,4,insert,100000,6.90964,495534,121107,0
16,100000,4,search,10000,0.510128,59171,0,5000
16,100000,5,insert,100000,3.3244,231337,56439,0
16,100000,5,search,10000,0.546247,58391,0,5000
16,100000,6,insert,100000,0.558522,19688,15582,0
16,100000,6,search,10000,0.422219,45227,0,5000
16,100000,7,insert,100000,0.366223,0,14285,0
16,100000,7,search,10000,0.414832,45189,0,5000
16,100000,8,insert,100000,0.298249,0,14285,0
16,100000,8,search,10000,0.396121,44950,0,5000
16,100000,10,insert,100000,0.315471,0,14285,0
16,100000,10,search,10000,0.316611,36326,0,5000
16,100000,12,insert,100000,0.315332,0,14285,0
16,100000,12,search,10000,0.186495,20933,0,5000
16,100000,16,insert,100000,0.301992,0,14285,0
16,100000,16,search,10000,0.177952,20007,0,5000
16,100000,20,insert,100000,0.304541,0,14285,0
16,100000,20,search,10000,0.171993,19263,0,5000
16,100000,24,insert,100000,0.30801,0,14285,0
16,100000,24,search,10000,0.167193,18750,0,5000
16,100000,32,insert,100000,0.303428,0,14285,0
16,100000,32,search,10000,0.16589,18004,0,5000
