order,cache,phase,n,time_s,time_s_base,time_s_gain_pct,reads,reads_base,reads_gain_pct,writes,writes_base,writes_gain_pct
16,2,insert,100000,8.13888,7.37279,-10.390774727070758,479782,479782,0.0,120240,120240,0.0
16,2,search,10000,0.468308,0.487083,3.8545791990276785,49554,49555,0.002017959842599132,0,0,
16,3,insert,100000,6.92566,7.37279,6.064596984316663,478101,479782,0.3503674585540933,120181,120240,0.049068529607451755
16,3,search,10000,0.459778,0.487083,5.605820773872209,49519,49555,0.07264655433356877,0,0,
16,4,insert,100000,6.73389,7.37279,8.66564760423124,460069,479782,4.108741053228341,120105,120240,0.1122754491017964
16,4,search,10000,0.463266,0.487083,4.889721053701315,49079,49555,0.960548885077187,0,0,
16,5,insert,100000,5.94381,7.37279,19.38180797228729,361525,479782,24.648069331488053,120022,120240,0.18130405854956752
16,5,search,10000,0.373099,0.487083,23.401350488520432,38175,49555,22.964383008778125,0,0,
16,6,insert,100000,8.51955,7.37279,-15.553949047782458,351192,479782,26.801755797424665,119968,120240,0.22621423819028608
16,6,search,10000,0.38947,0.487083,20.04032167002339,38143,49555,23.028957723741296,0,0,
16,7,insert,100000,8.60021,7.37279,-16.647971799006893,348876,479782,27.284475032410555,119895,120240,0.2869261477045908
16,7,search,10000,0.364388,0.487083,25.18975205457797,37799,49555,23.7231359095954,0,0,
16,8,insert,100000,7.80087,7.37279,-5.806214472404606,347695,479782,27.530628493774255,119847,120240,0.3268463073852296
16,8,search,10000,0.333235,0.487083,31.585581923409357,34899,49555,29.575219453132885,0,0,
16,10,insert,100000,9.06933,7.37279,-23.0108276514047,329431,479782,31.33735738314484,119733,120240,0.42165668662674655
16,10,search,10000,0.173643,0.487083,64.3504289823295,18253,49555,63.16617899303804,0,0,
16,12,insert,100000,7.8498,7.37279,-6.4698709715046805,323419,479782,32.5904264853621,119636,120240,0.5023286759813705
16,12,search,10000,0.180296,0.487083,62.98454267547831,18108,49555,63.458783170214915,0,0,
16,16,insert,100000,7.09774,7.37279,3.730609443643454,307038,479782,36.00468546131368,119417,120240,0.6844644045242847
16,16,search,10000,0.164749,0.487083,66.17640114723774,17404,49555,64.8794268994047,0,0,
16,20,insert,100000,7.28123,7.37279,1.2418636635520652,294879,479782,38.5389614449896,119183,120240,0.8790751829673985
16,20,search,10000,0.163022,0.487083,66.53096084240264,16841,49555,66.01553829078802,0,0,
16,24,insert,100000,9.95615,7.37279,-35.03911002483455,285157,479782,40.56529840635956,118971,120240,1.055389221556886
16,24,search,10000,0.154998,0.487083,68.17831868490585,16369,49555,66.9680153364948,0,0,
16,32,insert,100000,7.25866,7.37279,1.547989295775416,270175,479782,43.68796661817242,118584,120240,1.377245508982036
16,32,search,10000,0.149276,0.487083,69.3530671364018,15575,49555,68.57027545151851,0,0,
